Title,PriceMin,PriceMax,Sold,Rating,Shipping,Store,URL
Car-Holder Clip-Mount Cell-Stand-Support Mobile-Phone-Holder Gravity No-Magnetic Vent,0.65,1.95,187,4.5,0,XT Car motorcycle accessories Store,https://www.aliexpress.com/item/4000053019075.html
Bluetooth OBD2 Interface-Adapter Auto-Diagnostic-Scanner-Tool HH Obdii Can Check Engine,3.55,3.55,2921,4.6,0,Powertiger Store,https://www.aliexpress.com/item/32885014962.html
Scanner Diagnostic-Adapter Code-Reader V1.5 Elm 327 Bluetooth OBDII MINI for ATAL,3.43,4.95,2882,4.8,2.55,OBD2 Market Store,https://www.aliexpress.com/item/4000147422589.html
XTOOL Mini Elm327 Code-Reader Car-Diagnostic-Tool Obd2 Scanner Bluetooth Android-Windows,2.75,3.44,15645,4.7,0,XTOOL Direct Store,https://www.aliexpress.com/item/4000098996019.html
327-Tester Adapter Diagnostic-Tool Code-Reader Elm-327 Auto-Scanner Bluetooth Obd2 Android,1.72,3.38,2505,4.8,1.58,LVC OBD X431. Store,https://www.aliexpress.com/item/4000155851649.html
KEYYOU Remote-Key-Shell I30 I35 Accent Flip Folding Hyundai I20 Sportage Kia Picanto,0.85,1.92,2572,4.8,0,KEYYOU Official Store,https://www.aliexpress.com/item/33027020375.html
Car Ashtray Aromatherapy For VW AUDI BMW Benz Honda Toyota Buick Renault Kia Lada Ford Jaguar Lincoln Suzuki Mazda Nissan Subaru,7.6,7.6,0,0,0,CHEPINFA Store,https://www.aliexpress.com/item/10000282112596.html
Car-Diagnostic-Tool Protocol Elm 327 OBD2 Bluetooth-4.0 V2.1/v1.5 OBDII Android/symbian,2.81,4.23,8571,4.8,0,"OBDOBD2 Electronic Tech Co.,Ltd",https://www.aliexpress.com/item/2021746958.html
OKEEN Work-Light Offroad-Accessories Round Auto-Truck-Off-Road Mini Square 9LED Ledbar,4.11,4.74,750,4.7,0,OKEEN official store,https://www.aliexpress.com/item/4000472745462.html
Kebidu Scanner Car-Diagnostic-Tool ODB2 327 Elm327 V2.1 Bluetooth Obd2 2-Elm,2.95,2.95,436,5,2.55,Shop5595007 Store,https://www.aliexpress.com/item/4000809104541.html
Scanner Code-Reader Car-Diagnostic-Tool Elm 327 Automotivo Android-Windows for Bluetooth,1.74,3.71,2400,4.6,0,Vehicle Diag Store,https://www.aliexpress.com/item/32899566828.html
ELM327 OBD2 Car-Accessories Car-Diagnostic-Tool Auto-Scanner Bluetooth Android/symbian,2.52,3.62,2247,4.7,0.21,Rhcartool Store,https://www.aliexpress.com/item/4000586123237.html
