Title,PriceMin,PriceMax,Sold,Rating,Shipping,Store,URL
Resin Earrings Gifts Candy-Color Animal-Bear Cartoon High-Quality Cute Kids,0.46,0.46,1292,4.9,0,GHRQX 88 Store,https://www.aliexpress.com/item/4000878602187.html
Base-Pins Brooch-Settings Clip Blank-Base Jewelry-Making-Supplies 35-Mm-Brooch DIY,0.97,2.32,2987,4.9,0,St.kunkka Official Store,https://www.aliexpress.com/item/32998616383.html
Post-Earring Studs Base-Pins Rhodium Metal Blank 4-10mm Ear-Back Makings Kc Gold For Jewelry,1.19,1.47,892,4.9,0,St.kunkka Official Store,https://www.aliexpress.com/item/4000557077327.html
100pcs/Lot 10mm Flower Torus Shape Alloy Beads Caps Jewelry Findings Spacer Beads For,0.69,0.69,1551,4.9,0,BeadWishDIY Store,https://www.aliexpress.com/item/33010058113.html
50pcs Mixed 7 Color 10/12/14/16mm Metal Lobster Clasp Hooks End Connectors For Jewelry,0.9,1.48,2096,4.9,0,FLTMRH Factory Store,https://www.aliexpress.com/item/4000504515739.html
Brooch-Settings Base-Pins Blank-Base Finding Jewelry-Making DIY Metal 38/40mm Clip,0.92,1.63,1551,4.9,0,FLTMRH Factory Store,https://www.aliexpress.com/item/4000515693180.html
Earring-Clasps Earwire Jewelry-Making-Accessories French-Hooks Gold-Plated KC Diy Silver,0.8,1.01,1387,4.9,0,Andeng Jewelry Factory,https://www.aliexpress.com/item/32874045541.html
100pcs Stainless Steel Pendant Pinch Bail Clasps Necklace Hooks Clips Connector For Jewelry,0.95,0.95,794,4.9,0,Cabochon Store,https://www.aliexpress.com/item/4000001609758.html
Earrings Blocked-Caps Back-Stoppers Jewelry Ear-Plug Findings-Making Diy-Parts Rubber,0.83,0.95,1481,4.9,0,St.kunkka Official Store,https://www.aliexpress.com/item/32926739951.html
Various Styles of Golden Beads for Jewelry Making Findings Caps Needlework Diy Accessories Wholesale,0.68,1.27,1,0,0,SBT-Jewellery Accessories Store,https://www.aliexpress.com/item/4001118674093.html
8 Size 0.2-0.6mm Beading Cords No Elastic Line Non-Stretch Fish Line Wire Nylon String,1.29,1.29,193,4.3,0,louleur Offcial Store,https://www.aliexpress.com/item/4000986367858.html
Eyepins-Hooks Jewelry-Findings Screw Eyelets Threaded Making Tiny DIY Small Gold 200pcs,0.9,1.85,3390,4.9,0,St.kunkka Official Store,https://www.aliexpress.com/item/32867821074.html
Rope Cord Beading String-Line Necklace Bracelet Beads Jewelry-Making Elastic Transparent,0.38,0.45,5556,4.9,0,FLTMRH Stoneforlover Store,https://www.aliexpress.com/item/32921490615.html
Cords Jewelry Wire-String Beading Making-Supply Elastic-Line Stretch Korea DIY Tec 100m/Roll,0.67,2.44,5841,4.9,0,louleur Offcial Store,https://www.aliexpress.com/item/4000093084255.html
Jump-Rings Connectors Making-Accessories Jewelry Finding Wholesale-Supplies Diy for 4,0.49,2.24,505,4.9,0,Trend Accessory Store,https://www.aliexpress.com/item/4000982510903.html
Eye-Pins Clasps-Hooks Eyelets Screw Jewelry-Making-Accessories Threaded DIY Tiny Small,0.84,1.72,2469,4.9,0,Cabochon Store,https://www.aliexpress.com/item/32865685423.html
DIY Earring Jewelry Clasps-Hooks-Fittings Iron-Hook Earwire Making-Accessories 100pcs/Lot,0.84,0.84,7501,4.9,0,Cabochon Store,https://www.aliexpress.com/item/32821783176.html
6.5mm DF color white Round Brilliant cut moissanites loose stone with certificate,40.05,40.05,0,0,0,QianXiangHui Store,https://www.aliexpress.com/item/33000904928.html
Cabochon Clear Glass Flat-Back Round 18mm 14mm 16mm 30mm 20mm Promotion Wholesale High-Quality,0.65,1.42,2293,4.9,0,Cabochon Store,https://www.aliexpress.com/item/33052784762.html
Korean Earrings Jewelry Geometric Dangle-Drop Wedding Heart Women New-Fashion for Round,0.71,1.51,19511,4.9,0,XP Official Store,https://www.aliexpress.com/item/4000132607677.html
Earrings-Set Jewelry Circle Geometric Twist Pearl Vintage Women Fashion Big,0.55,1.68,2873,4.7,0,IPARAM Official Store,https://www.aliexpress.com/item/4000232958583.html
Earrings Party Hoop Studs Punk Cross-Drop Dangle-Ear Metal Women New-Fashion,0.45,0.45,1944,4.5,0,yanqueens Official Store,https://www.aliexpress.com/item/4000130039738.html
Dangle Earring Jewelry Pendant Drop-Hanging Geometric Vintage-Trend Modern Fashion Women,0.55,0.64,2857,4.6,0,Fantasy Forest Store,https://www.aliexpress.com/item/4000466054621.html
Cord-String Beading-Wire Bracelet Jewelry Craft-Making Necklace Diy Gold/rose-Gold Colorfast,0.83,1.96,2665,4.8,0,Jewel Art City Store,https://www.aliexpress.com/item/4000045164221.html
XINYAO Split-Rings Connectors Jewelry Finding-Making Diy Metal Color Gold/bronze,0.23,2.09,8847,4.9,0,Xinyao Official Store,https://www.aliexpress.com/item/1082836270.html
luxury 925 sterling silver wedding band eternity ring for women big gift for ladies love wholesale lots bulk jewelry R4577,3.94,3.94,3606,4.8,0,moonso Official Store,https://www.aliexpress.com/item/4000395886730.html
