Title,PriceMin,PriceMax,Sold,Rating,Shipping,Store,URL
Aquarium Aerator Bubble-Disk Oxygen-Plate Pond-Pump Air-Stone Hydroponic 1PC Useful,0.28,0.28,9,0,0,11.11 Tools Store,https://www.aliexpress.com/item/4001120143511.html
Feeding-Ring Circle-Accessory Floating Food-Tray Fish-Tank-Station Buoyancy-Suction-Cup,0.21,1.38,117,4.9,0,Shop4808004 Store,https://www.aliexpress.com/item/4000136755062.html
Cat Bed House Round Long Plush Super Soft Pet Dog Bed Winter Warm Sleeping Bag Puppy,7.51,23.49,2062,4.9,0,Petsbeds Store,https://www.aliexpress.com/item/4000240957025.html
Cat-Litter-Shovel Scoop Toilet Pet-Cleanning-Tool Cat Sand Plastic for Dog Feces-Supplies,0.97,0.97,69,5,0,Snailhouse Pet-Home Store,https://www.aliexpress.com/item/4000478318527.html
House Hamster Small Pet Squirrel Animal-Room Cotton Plush-Nest Comfortable Cute Bed Soft,0.49,2.45,55,5,0,Shop5132058 Store,https://www.aliexpress.com/item/4000353355859.html
Decoration Aquarium-Decor Plant Water-Weeds-Ornament Fish-Tank Artificial-Plants 14cm,1.33,1.5,2673,4.8,0,ShineFlower Store,https://www.aliexpress.com/item/32996703214.html
Pet Dog Bed Basket Dogs Beds For Large Bench Mat Chihuahua Kennel For Pet Supplies Sofa Dog House For Cat Big Cushion Products,10.82,41.98,5245,4.7,0,HASNOEND Official Store,https://www.aliexpress.com/item/33043703521.html
Air-Pump Check-Valve Aquarium Fish-Tank One-Way-Non-Return-Valve 5pcs/Set,0.37,0.41,83,4.9,0.51,HHOOMMEE Store,https://www.aliexpress.com/item/4000444609349.html
FILTER-CLEANER Suction-Pipe Siphon Aquarium Safe Fish-Tank Vacuum,0.31,2.26,103,4.9,0,Big Sale,https://www.aliexpress.com/item/4000200469791.html
Cleaner Siphon-Pump WATER-FILTER-TOOL Tank-Gravel Aquarium Hang-Up Vacuum-Cleaning,0.67,1.58,51,0,0,Exquisite Life Store Store,https://www.aliexpress.com/item/4001034532139.html
Aquarium-Accessories Tweezer Shrimp Fish-Tank-Cleaner Plant Reef Curved-Aquarium Stainless-Steel,0.57,2.3,256,4.9,0,Apricot Store,https://www.aliexpress.com/item/4000603606926.html
Decor Aquarium Artificial-Fish-Tank-Decorations Landscape Plastic-Plants 1pcs,0.18,0.89,58,4.8,0,Shop5132058 Store,https://www.aliexpress.com/item/4000311837787.html
Cage Hammock Toys Nest Hamster Sugar-Glider Bed-House Pet-Supplies Bird Bunk Banana-Shape,1.24,1.72,190,4.8,0,Your House Win Store,https://www.aliexpress.com/item/4000807991502.html
Clip-Remover Tweezers Ticks-Tool Groom-Care-Product Fleas Anti-Dog Mite Hair And,0.35,1.04,221,5,0,Shop4808004 Store,https://www.aliexpress.com/item/33041971365.html
Pet Dog Bed Long Plush Super Soft Pet Bed Kennel Round Dog House Cat Bed For Dogs Bed Chihuahua Big Large Mat Bench Pet Supplies,11.7,45.7,11180,4.7,0,"eLife Co.,Ltd",https://www.aliexpress.com/item/33045927208.html
Pet-Waste-Bag-Dispenser Dispenser-Carrier-Case Holder-Plastic-Garbage-Bag 10-Roll,1.58,3.86,435,4.6,0,Unbounded Store,https://www.aliexpress.com/item/10000164819810.html
Bows-Hair Clips Accessoire Grooming-Bows Petite Dogs Small Yorkshire for Pour Chien Taille,0.98,4.58,684,4.8,0,PipiFren Store,https://www.aliexpress.com/item/32848824849.html
Fish-Tank-Decoration Aquarium Water-Grass Viewing Artificial New Green Plants Purple,0.95,1.37,2447,4.8,0,Nanairo 07 Store,https://www.aliexpress.com/item/32871379820.html
Gravel Cleaner FILTER Suction Pipe-Tube Water-Exchange-Tool Vacuum-Pump Sand-Trap Aquarium,0.56,1.75,1233,4.5,0,Warm Wind Store,https://www.aliexpress.com/item/4000530478702.html
Buoy Fish-Catching Angling Aquarium Vertical Most-Type Assorted-Size Sea for of 1set,0.96,0.96,6142,4.4,0.13,Aestheticism House Store,https://www.aliexpress.com/item/33059738919.html
Grooming-Tool Removal Tick-Collar Flea-Effect Anti-Flea Kitten Cat Pet-Supplies Remedy-Neck,0.24,0.6,83,5,0.66,Vnvl daily necessities consumer shop Store,https://www.aliexpress.com/item/33050806114.html
Air-Bubble-Stone Tube Oxygen-Pump-Hose Aquarium Fish-Tank High-Quality 5m/10m 4--6mm,0.76,4.21,3284,4.8,0,Strawberry Pets Store,https://www.aliexpress.com/item/32919412958.html
