Title,PriceMin,PriceMax,Sold,Rating,Shipping,Store,URL
Baofeng UV 82 Headset Radios Walkie-Talkie Uv-9r 8-Watt 8W Ham U/V 10-Km,21.97,40.7,420,4.9,0,2WayLink Store,https://www.aliexpress.com/item/32879828603.html
Nokia C2-01 Unlocked Memory card slots/Fm radio/Qwerty keyboard/Mp3 playback Used Cellphones,24.01,29.4,306,4.8,0,Trendy Fun Phone Store,https://www.aliexpress.com/item/4000100941383.html
Meizu C9 2GB 16GB Mobile-Phone GSM/LTE/WCDMA Quad Core 13MP New Camera Battery Official,52.99,59.99,1477,4.9,0,MEIZU Online Store,https://www.aliexpress.com/item/32968202480.html
LEAGOO Z13 Mobile-Phone 8GB 1GB GSM/WCDMA Quad Core 5mp New Android Dual-Sim 3G 2 2000,29.99,29.99,717,4.9,0,LEAGOO Official Store,https://www.aliexpress.com/item/4000402508325.html
Caroger 2pcs Walkie Talkies Two-Way-Radio Handheld FRS/GMRS Interphone Range Camouflage,12.39,18.02,308,4.8,0,Boutique Headphone Store,https://www.aliexpress.com/item/33007938749.html
Retevis Radio-Transceiver Communicator Walkie-Talkie UHF Professional Handy Rechargeable,22.4,32.38,282,4.9,0,RETEVIS Official Store,https://www.aliexpress.com/item/32578266909.html
Baseus Visible Wireless Charger Wireless Chargepad for iPhone Airpods 15W Fast Charging Wireless Charge Pad QI Enabled Devices,17.4,20.35,3435,4.8,0,BASEUS Official Store,https://www.aliexpress.com/item/4000161680240.html
Xiaomi Redmi 7A 32GB 3GB GSM/LTE/WCDMA Octa Core 13MP New Battery Camera Global-Rom Smartphone 4000mah,84.99,96.99,409,4.9,0,Xiaomi Russian Store,https://www.aliexpress.com/item/33028626150.html
DOOGEE Helio P25 Mt6757 Pro Y7 Plus Cellphone 64GB 6GB LTE/GSM/WCDMA Adaptive Fast Charge,109.99,109.99,15,5,0,DOOGEE Official Store,https://www.aliexpress.com/item/4000411945702.html
Electrodes Fujikura 70s/80s-Fiber Double-Original 1 Electrical-Welding-Electrode-Rod,11.6,11.6,95,4.8,0,Shenzhen city Hivi communication equipment Co. Ltd.,https://www.aliexpress.com/item/32808205349.html
Xiaomi Redmi 7A 3GB 32GB GSM/LTE/WCDMA Octa Core 13MP New Mobile-Phone Camera Global-Rom,86.99,100.99,681,4.9,0,Xiaomi Russian Store,https://www.aliexpress.com/item/33046067812.html
