Title,PriceMin,PriceMax,Sold,Rating,Shipping,Store,URL
Sneakers Platform-Shoes Jazz-Dance-Shoes Air-Cushion Lightweight Outdoor Breathable Women,14.7,14.7,46,4,0,BaiRuiLun Store,https://www.aliexpress.com/item/10000028316076.html
Girls Sneakers Canvas-Shoes Vulcanize Allstar Athletic Chuck-Taylor-Ox Designer Womens,12.07,17.16,41,5,0,Shop5623117 Store,https://www.aliexpress.com/item/4001077939585.html
Bathroom Slippers Men Shoes Comfortable Summer New-Fashion Indoor Women,2.46,2.46,11,0,4.67,PUAMSS Profession Store,https://www.aliexpress.com/item/4001047745582.html
Man Shoes Moccasins Men Sneakers Mens Loafers Handmade Plus-Size Lightweight Fashion,10.15,18.99,42,5,0,TIAN BULON Footwear Store,https://www.aliexpress.com/item/4000693981180.html
Men Women Sneakers Mixed Color Sports Leisure Shoes Increased Cushion Breathable Running Shoes Sneakers 7 Color Size 36-47,10.34,13.24,37,5,0,AIRAVATA YCX Store,https://www.aliexpress.com/item/4000741996768.html
Sneakers Women Vulcanized-Shoes Tenis Lace-Up Walking-Mesh Feminino White Breathable,6.76,9.96,858,4.8,0,KUIDFAR,https://www.aliexpress.com/item/32975685695.html
Platform-Sneakers Sports-Shoes Vulcanize Chunky Tennis Female Designer Running Plus-Size,21.93,26.4,52,5,0,Sinonics Store,https://www.aliexpress.com/item/4001095858299.html
Men Shoes Moccasins Italian Casual Genuine-Leather Summer Luxury Brand Breathable on,11.79,16.7,119,4.8,0,JKPUDUN Official Store,https://www.aliexpress.com/item/33013795324.html
White Sneakers Shoes Socks Vulcanized-Shoes Tenis Knitted Feminino Ladiestrainers Casual,5.39,5.78,101,4.8,5.26,WENKOUBAN Comfy Store,https://www.aliexpress.com/item/4000679288675.html
Dropshipping Indestructible Work Shoes Men And Women Steel Toe Air Safety Boots Puncture-Proof Work Sneakers Breathable Shoes,1426.88,1426.88,4171,4.6,0,menboots Store,https://www.aliexpress.com/item/33004799678.html
Sneakers Women Flat-Shoes Vulcanized Walking-Mesh Breathable Fashion Gym,9.52,10.96,379,4.9,0,Old friend Store,https://www.aliexpress.com/item/33026237232.html
White Sneakers Shoe Basket Vulcanized-Shoes Super-Light Female Femme Casual Summer Mesh,6.76,9.96,1205,4.8,0,KDF Store,https://www.aliexpress.com/item/32976934377.html
Safety Boot Indestructible-Shoes Comfort Male Pu Toe-Cap Anti-Puncture Men,11.35,15.69,93,4.7,0,Laura Shoe & Bag Store,https://www.aliexpress.com/item/4000632005559.html
Vulcanize Shoes Fabric-Socks Tenis Slip-On Feminino Fashion Women Stretch 43 Plus-Size,6.82,9.94,736,4.7,0,KDF Store,https://www.aliexpress.com/item/32973272475.html
