Title,PriceMin,PriceMax,Sold,Rating,Shipping,Store,URL
Alkalinity Chlorine Residual Hardness-Test-Strip Swimming-Pool-Test-Paper 50-Strips Ph-Value,1.01,2.9,281,5,0,CASPTM warmimg Store,https://www.aliexpress.com/item/4000927892907.html
Cutter Drill-Bit-Set Titanium-Coated Cone-Hole Taper-Metric Hex-Core Step Metal Hss 3pc,6.38,8.86,2661,4.9,0,ECOBULL Tools Store,https://www.aliexpress.com/item/32804338083.html
XCAN Step-Drill-Bit-Set Hole-Cutter Core Titanium-Coated Wood Metal 4-20mm Straight 3-12mm,4.69,4.69,4987,4.9,0,xcan Official Store,https://www.aliexpress.com/item/32964626217.html
XCAN Drill-Bits Slot Hole-Cutter-Set Titanium-Coated Step Steel Hex Shank Straight 6-35mm,1.87,7.51,3059,4.9,0,xcan Official Store,https://www.aliexpress.com/item/32893264048.html
MESTEK Digital Multimeter Temperature Auto-Range-Tester Counts 6000 True RMS NCV Intelligent,8.11,14.01,2639,4.9,0,MESTEK Official Store,https://www.aliexpress.com/item/33032864535.html
Stud-Removal-Tool-Kit Case Screw-Extractor Bolt Out-Remover Double-Side-Drill Damaged,1.94,1.94,23296,4.7,1.87,XINGWEIQIANG-09 Store,https://www.aliexpress.com/item/1000003753118.html
20V Electric Lawn Mower 2000mAh Li-ion Cordless Grass Trimmer 12in Auto Release String Cutter Pruning Garden Tools By PROSTORMER,63.13,80.67,762,4.8,0,prostormer Official Store,https://www.aliexpress.com/item/32973711990.html
Alkalinity Chlorine Hardness-Test-Strip Swimming-Pool-Test-Paper Ph-Value A-Bottle Water-Quality,2.76,2.76,1237,4.9,0,QSTEXPRESS-09,https://www.aliexpress.com/item/4000066673271.html
Organizer Pouch Hardware-Parts Toolkit Carry-Bags Storage Multi-Function Canvas Waterproof,4.42,6.09,62,5,2.07,Tools With Fun Store,https://www.aliexpress.com/item/4000286891795.html
ANENG Digital Multimeter Testers Transistor Capacitance-Meter XL830L Electrical-Dmm Automotive,1.94,1.94,7063,4.8,3.06,ANENG Official Store,https://www.aliexpress.com/item/33003240593.html
Screen-Separator-Repair Cutting-Line Molybdenum-Wire 100m Lcd-Display Drop-Ship Alloy-Gold,1.05,1.05,34,4,0.34,Shop5095147 Store,https://www.aliexpress.com/item/4000243388772.html
